23
0	973	925	595	647	576	703	716	718	919	787	788	540	663	732	658	1003	636	616	682	915	1031	872	
973	0	811	648	1033	795	627	861	982	666	905	725	990	927	564	843	885	712	816	680	708	534	593	
925	811	0	960	975	758	610	952	660	857	1057	1043	993	1029	734	898	790	642	730	679	1000	1047	735	
595	648	960	0	684	914	635	571	583	780	592	870	928	1040	1046	736	577	783	567	537	824	1037	902	
647	1033	975	684	0	548	1034	597	821	624	887	755	770	937	556	1058	550	926	860	615	813	763	805	
576	795	758	914	548	0	535	532	980	671	695	899	826	1053	854	852	909	728	638	845	611	782	542	
703	627	610	635	1034	535	0	955	669	599	771	940	822	739	858	692	848	797	966	956	1005	873	939	
716	861	952	571	597	532	955	0	697	950	744	729	628	715	892	652	626	538	987	810	701	747	996	
718	982	660	583	821	980	669	697	0	895	549	632	731	764	589	681	878	918	961	901	778	891	602	
919	666	857	780	624	671	599	950	895	0	831	781	911	881	997	613	789	867	603	675	586	600	562	
787	905	1057	592	887	695	771	744	549	831	0	815	833	970	1038	877	794	820	551	634	643	944	581	
788	725	1043	870	755	899	940	729	632	781	815	0	1007	880	609	644	733	762	678	869	938	1002	984	
540	990	993	928	770	826	822	628	731	911	833	1007	0	807	740	827	604	702	846	1026	983	828	884	
663	927	1029	1040	937	1053	739	715	764	881	970	880	807	0	866	654	685	704	719	942	802	1050	875	
732	564	734	1046	556	854	858	892	589	997	1038	609	740	866	0	717	752	661	819	617	620	737	722	
658	843	898	736	1058	852	692	652	681	613	877	644	827	654	717	0	557	614	792	664	757	645	687	
1003	885	790	577	550	909	848	626	878	789	794	733	604	685	752	557	0	776	924	531	903	751	612	
636	712	642	783	926	728	797	538	918	867	820	762	702	704	661	614	776	0	706	929	691	817	1009	
616	816	730	567	860	638	966	987	961	603	551	678	846	719	819	792	924	706	0	1035	847	913	749	
682	680	679	537	615	845	956	810	901	675	634	869	1026	942	617	664	531	929	1035	0	774	785	743	
915	708	1000	824	813	611	1005	701	778	586	643	938	983	802	620	757	903	691	847	774	0	761	894	
1031	534	1047	1037	763	782	873	747	891	600	944	1002	828	1050	737	645	751	817	913	785	761	0	641	
872	593	735	902	805	542	939	996	602	562	581	984	884	875	722	687	612	1009	749	743	894	641	0	
