1
832 889
187 254 260
427 592 897
406 200 -778
770 325 763
806 355 734
790 195 -761
575 111 -609
715 171 236
517 77 520
735 615 -474
400 302 -704
56 733 -592
76 217 789
772 229 641
575 735 525
193 679 -158
162 145 599
681 271 -550
697 463 374
586 257 -172
822 213 555
339 597 112
179 733 -909
729 679 700
458 466 -843
824 283 -553
776 193 -748
286 132 693
662 774 -229
14 209 -387
531 630 -784
5 510 -971
306 210 351
572 288 89
380 809 666
754 802 951
357 438 81
152 226 816
600 53 683
233 179 -261
181 742 -667
261 13 587
203 604 141
37 294 112
127 751 430
252 280 -739
597 42 -115
180 776 -540
103 786 -920
63 659 568
521 697 -80
769 780 -639
215 791 487
576 797 161
165 775 -249
30 82 -718
206 61 626
236 811 -662
609 631 660
423 487 223
587 70 -598
553 718 -410
481 832 -614
622 578 179
502 399 757
689 710 -51
800 160 -241
62 512 775
751 460 -411
655 40 158
827 450 751
490 210 607
414 731 529
664 424 -84
660 469 -407
15 191 -34
205 395 877
572 639 551
479 167 434
822 806 626
742 592 -329
546 801 -634
214 751 544
636 148 837
524 735 -542
629 309 -243
230 210 737
729 290 -561
739 130 -940
111 189 -925
800 434 -14
24 9 751
22 758 622
190 384 157
238 330 -303
797 224 230
558 191 793
374 446 580
523 305 -851
63 332 900
218 563 -889
245 432 -868
67 712 -361
824 658 -859
397 539 488
306 320 -998
384 402 -939
240 391 -673
202 430 496
815 706 948
817 266 30
665 219 -494
420 807 -498
537 304 -437
97 194 -343
439 721 -829
759 443 -390
292 796 442
362 422 -755
397 515 -324
115 304 394
137 782 -44
209 495 -116
253 249 -505
384 730 -383
756 39 -20
831 397 142
20 717 -706
105 383 -458
494 173 -253
727 512 -260
207 579 161
375 555 809
271 571 -798
465 756 -189
186 811 -984
661 477 -821
418 211 526
599 284 -417
624 396 875
350 231 -549
52 141 -466
752 306 -781
709 48 -917
240 734 354
409 233 -681
297 146 85
443 817 77
112 603 253
204 243 -438
831 71 724
799 410 857
384 109 -662
123 403 212
552 562 800
67 155 753
161 56 -739
282 674 -699
249 216 -697
445 447 -371
634 428 -336
787 155 -217
264 179 -607
20 698 -153
544 562 744
118 749 46
101 388 -508
392 127 -746
508 660 -361
367 259 370
727 115 238
133 91 -813
231 146 300
46 27 -63
372 188 304
704 107 828
589 207 309
696 261 266
274 315 -52
249 376 737
24 768 915
558 292 -945
268 131 760
164 483 -213
595 653 -430
344 260 -205
135 333 208
196 368 -459
91 727 893
647 351 598
264 587 432
522 453 340
230 738 170
284 585 -356
320 91 80
198 559 141
445 417 737
539 565 -205
816 700 252
406 637 859
487 305 -816
84 512 -335
8 691 -185
27 734 -580
742 463 -596
567 15 -53
445 153 -597
562 225 818
518 792 -382
711 748 993
752 573 123
24 527 974
665 530 231
184 607 849
559 294 551
498 435 592
765 72 949
387 393 911
435 479 -686
798 721 -676
430 772 -591
544 146 277
566 691 841
128 599 968
316 311 -518
658 702 232
77 478 275
63 732 -695
156 488 -884
201 81 -388
529 99 355
600 815 -285
361 478 -718
326 465 -385
524 616 -353
253 316 497
495 109 -330
521 102 930
160 530 962
637 541 579
675 310 783
820 400 819
614 34 640
761 74 -50
445 457 -157
224 767 843
296 18 821
337 423 818
820 608 449
396 29 -495
263 477 -631
422 124 -873
317 14 -832
607 665 -530
73 538 -574
538 98 830
2 336 22
213 426 622
37 389 -383
108 654 -558
316 377 -123
408 651 -126
517 662 -622
800 503 -425
767 387 802
132 487 504
329 723 246
278 85 152
121 221 640
70 2 -4
256 562 -101
346 88 -678
143 381 422
359 148 320
481 590 891
529 477 -472
57 278 719
408 416 927
301 63 -24
425 664 -817
492 447 730
127 380 -240
458 597 -304
80 763 192
395 88 -854
599 203 789
94 514 581
816 631 368
337 468 -545
577 421 -375
728 790 -830
684 483 91
72 305 -228
381 515 -488
274 681 -521
71 502 261
612 330 -860
721 106 -773
772 319 -577
655 479 -843
189 427 237
253 95 857
830 505 -882
564 603 -713
287 124 831
98 417 384
453 631 323
426 386 -615
316 693 -530
568 758 -762
382 243 -912
469 673 712
803 662 -193
302 162 371
385 546 946
746 767 -416
750 552 -672
612 71 50
757 88 233
234 447 868
228 238 37
556 372 -819
195 154 -629
228 390 567
435 604 557
672 250 -347
592 51 -408
78 549 -383
369 68 897
570 155 -577
715 355 -61
456 652 196
249 315 588
603 81 -674
133 583 -113
59 326 541
149 122 -394
70 565 737
639 455 -41
165 384 166
486 730 230
775 256 930
464 715 169
498 325 -543
349 198 -614
47 642 -765
402 765 -642
579 129 956
60 368 -774
258 252 681
89 322 477
534 610 -781
297 769 136
194 290 -548
637 762 705
652 380 -283
289 755 -890
789 440 -447
686 745 -164
483 579 597
89 219 12
187 536 -958
65 450 552
224 680 776
96 301 375
616 146 978
701 29 -43
465 50 -955
492 798 707
195 286 -667
262 764 446
215 707 -786
409 9 243
455 496 631
663 547 760
189 343 -482
164 450 -94
230 716 263
265 623 -329
316 705 -27
681 254 106
439 119 -735
717 212 581
634 804 -598
109 404 648
832 604 586
783 777 732
460 40 237
13 766 -43
262 805 765
590 356 -378
277 486 -85
420 159 572
293 544 -350
676 507 -34
359 465 185
342 52 797
574 470 646
145 388 749
30 204 23
644 152 -659
729 467 722
181 497 -159
105 409 -766
104 247 260
163 791 -427
27 722 797
791 426 435
345 797 231
743 291 194
413 397 424
499 709 867
86 312 774
567 809 -993
14 512 626
562 522 -935
319 232 -483
212 517 125
421 582 -220
796 375 -822
633 123 -286
535 579 -964
177 75 -816
312 429 666
303 253 -397
15 426 -555
275 578 -304
187 710 519
739 803 337
294 242 -226
271 176 -482
520 284 -790
827 234 338
290 562 -369
107 616 791
821 530 -534
550 473 526
785 24 -29
143 666 662
620 139 937
193 828 320
162 442 -536
228 704 -551
294 637 62
646 215 38
739 12 -678
239 7 -200
235 317 904
137 676 -172
324 692 -635
110 793 -374
432 169 -649
500 635 287
83 84 -777
762 720 687
161 343 618
412 485 -896
624 322 -428
587 685 887
615 807 208
365 538 -301
693 778 467
519 18 -238
505 194 220
639 741 718
258 490 27
237 780 -639
652 38 105
406 720 704
722 467 476
666 391 -377
341 678 638
580 361 -311
438 47 -953
333 457 -49
38 220 -69
236 134 -698
420 74 -149
279 497 -970
552 791 -344
75 310 418
546 289 -46
591 504 -977
426 10 -253
129 771 -489
402 50 732
477 827 370
218 381 566
586 512 -933
555 15 -739
304 62 627
219 427 -308
201 575 -209
800 727 -471
556 494 685
240 344 652
116 21 -719
376 224 -277
423 425 -243
562 753 -862
528 602 386
704 684 124
777 43 641
823 461 434
638 646 -969
434 4 706
552 260 117
482 598 -209
13 722 876
154 625 -286
434 68 731
278 177 163
545 166 107
342 609 -97
658 458 -784
252 115 111
593 467 483
825 4 852
84 779 57
582 790 613
344 55 -105
726 674 503
720 265 -105
805 633 -831
630 679 930
371 211 -568
518 605 -903
777 809 -113
31 668 357
572 103 -338
112 550 500
599 17 -101
807 325 -968
647 577 936
177 492 -868
283 263 761
33 741 -922
62 128 715
409 244 -87
581 389 -68
170 444 77
373 16 275
174 661 644
563 214 639
12 400 107
685 478 -522
237 219 -901
659 311 -589
711 658 -525
661 296 -859
192 705 -150
542 729 973
372 641 -24
105 793 243
705 455 698
483 658 505
494 286 -293
58 92 918
189 725 -315
172 701 -735
799 49 -667
102 752 52
434 531 -537
507 533 -295
519 205 -824
269 548 772
671 504 505
19 80 764
811 176 -743
5 746 532
519 635 858
576 22 944
76 713 304
196 616 894
85 615 -385
440 776 -503
308 126 -300
534 84 -868
238 497 -245
414 5 402
349 238 323
736 382 -181
559 606 -846
150 488 211
275 494 846
255 138 -944
250 609 -102
773 119 -810
303 162 711
165 624 -347
170 654 -367
498 430 -974
398 145 803
17 218 378
754 8 -668
16 614 2
184 351 -134
407 102 995
11 424 176
743 766 140
182 62 -874
777 427 -949
703 140 786
360 110 60
148 502 339
46 104 215
108 700 586
616 175 489
652 237 641
179 210 -806
9 105 -625
403 227 820
100 629 402
332 512 923
178 324 -586
219 303 179
6 92 -548
721 640 42
381 435 622
379 89 -500
631 540 362
459 584 923
387 490 951
620 193 373
40 400 63
514 30 -86
668 31 -904
592 802 376
403 812 266
685 88 -325
534 428 -431
523 439 -954
258 197 -984
335 515 431
462 82 360
163 335 -669
334 512 788
370 709 -554
414 310 834
319 526 58
129 794 -117
384 105 -663
283 728 464
511 789 -678
359 598 886
763 662 -488
46 355 240
101 88 -199
397 448 -14
27 75 -898
236 704 -751
27 308 -149
424 662 -487
382 393 -375
390 632 -544
183 758 -68
316 643 685
820 709 491
72 66 -453
303 6 412
241 467 64
126 123 -74
649 25 746
180 59 -220
546 19 820
753 507 -910
204 102 29
282 177 292
739 389 548
274 334 -383
808 21 -169
571 503 700
829 702 680
598 459 -506
662 523 880
369 287 -681
34 407 -717
50 143 -631
728 152 592
634 164 619
630 79 967
276 426 -763
412 301 734
653 423 -479
742 338 -529
288 220 -937
455 783 -147
78 213 -214
713 281 -989
158 606 778
228 386 269
387 385 -622
385 201 613
109 419 631
565 537 158
320 31 872
793 493 41
183 578 377
92 791 180
428 158 -956
568 88 196
774 438 193
493 102 -199
255 710 413
348 132 314
502 19 346
607 186 713
378 209 908
695 509 295
471 660 243
260 227 864
580 708 683
120 647 -285
743 701 541
819 659 -431
79 531 994
68 507 -800
225 580 -803
314 642 -997
263 64 951
314 437 -336
392 273 214
325 800 520
461 265 -783
711 372 516
495 272 720
257 159 865
25 672 753
739 152 -791
125 538 987
429 120 -339
145 161 544
688 732 93
240 597 -327
407 798 894
679 336 -227
81 586 -69
357 364 -553
764 34 287
579 273 502
721 86 44
427 555 -940
386 669 414
716 612 -401
598 130 84
446 705 -76
450 204 906
613 590 90
794 567 -279
457 169 -919
741 659 -963
268 367 787
548 455 803
572 643 67
659 187 -867
327 482 -757
786 221 848
203 5 -215
125 647 791
393 717 241
90 695 -15
636 409 -628
588 84 -863
391 585 -602
345 107 -693
420 9 -659
423 139 239
669 442 43
740 516 -761
471 67 649
784 46 743
181 270 330
44 569 -682
391 343 -641
203 108 -47
501 565 290
317 626 -486
288 517 42
412 774 -617
158 47 856
603 473 -52
340 765 912
550 410 36
548 113 152
738 810 -798
437 16 -885
727 484 -228
529 324 149
347 472 288
749 607 558
706 740 -136
496 273 -64
723 152 915
826 18 157
227 720 -740
765 273 -891
496 579 -953
283 465 284
781 197 -439
335 281 -626
424 678 -86
635 714 -241
800 201 964
79 653 -366
414 260 295
613 801 -772
544 549 -564
638 241 -267
681 425 837
233 540 -291
180 217 826
16 676 -776
396 515 -872
47 55 -212
77 723 384
396 128 418
498 124 17
192 123 -363
134 531 879
215 626 -174
335 33 658
706 417 671
722 45 410
376 349 -861
328 791 -469
157 45 104
156 93 -418
752 804 327
254 415 205
475 383 104
284 348 -563
455 126 61
790 290 342
361 763 -192
472 730 -121
357 684 -110
229 611 197
164 605 -784
824 738 69
15 791 -399
70 318 -147
90 753 275
547 199 -676
703 246 -490
776 339 -18
13 72 -523
685 394 -146
162 188 217
555 599 -289
697 148 287
211 83 14
521 646 113
721 246 656
52 355 396
598 22 340
445 732 -689
772 136 -816
460 535 -6
524 221 990
664 519 -987
71 127 -37
312 278 42
73 301 912
832 177 -996
694 442 -867
758 210 984
713 739 257
524 535 6
501 297 273
832 688 -60
